iter	Logloss
0	0.415727709
1	0.277927179
2	0.2180700403
3	0.1550537271
4	0.1248665171
5	0.09651168686
6	0.07546235289
7	0.06533474183
8	0.05630460537
9	0.04965721178
10	0.04457384754
11	0.04141420929
12	0.03893395198
13	0.03721281121
14	0.03585402638
15	0.03491968951
16	0.03388794842
17	0.03268075681
18	0.03187062774
19	0.03105595515
20	0.03051573069
21	0.03010157959
22	0.02968645454
23	0.02943104601
24	0.02890511022
25	0.02855569089
26	0.02837908983
27	0.02831178713
28	0.02822752552
29	0.02810672246
30	0.02789451569
31	0.02774817655
32	0.02736118449
33	0.02708076089
34	0.02684046713
35	0.02645968451
36	0.02638855887
37	0.02620385296
38	0.02604854336
39	0.02599594251
40	0.02596896114
41	0.02581356772
42	0.02581356723
43	0.0257264962
44	0.02568728233
45	0.02561335729
46	0.02555352691
47	0.02550380203
48	0.02545869625
49	0.02545416605
50	0.02541089863
51	0.02512634766
52	0.02509412142
53	0.02508351395
54	0.02479782951
55	0.02472583625
56	0.02456304041
57	0.02455135271
58	0.02452005024
59	0.02452004912
60	0.02444257913
61	0.02438572204
62	0.02419142165
63	0.02419142164
64	0.02401143705
65	0.02388377434
66	0.02387802625
67	0.02387801582
68	0.02387801385
69	0.02387136676
70	0.02387136662
71	0.02368636169
72	0.02368636071
73	0.02348417718
74	0.02332829036
75	0.02325168572
76	0.02303926464
77	0.02295709386
78	0.02288991827
79	0.02279880674
80	0.02266623203
81	0.02266623002
82	0.02247213662
83	0.02247136185
84	0.02226356979
85	0.02217615484
86	0.02210428181
87	0.02201745769
88	0.0219540585
89	0.02170458719
90	0.02170458202
91	0.02153930726
92	0.02139094202
93	0.02117598088
94	0.02106050536
95	0.02098521618
96	0.02080908326
97	0.02076443489
98	0.0206424632
99	0.02043444564
100	0.02023108709
101	0.02020909867
102	0.02011922042
103	0.01999379412
104	0.01982792746
105	0.01973892418
106	0.01957059278
107	0.01945704759
108	0.01933962344
109	0.01918323323
110	0.01911211442
111	0.01897344347
112	0.01883551061
113	0.01879401319
114	0.01863336063
115	0.0184702132
116	0.01843519162
117	0.01841039573
118	0.01831375179
119	0.01827210206
120	0.01816216145
121	0.01798486846
122	0.01782519604
123	0.01774204005
124	0.01761333156
125	0.01758053705
126	0.01754006398
127	0.01744261095
128	0.01730903922
129	0.01723289779
130	0.01708743744
131	0.01703257941
132	0.01693896645
133	0.01685229427
134	0.01671332311
135	0.01663415157
136	0.01652774875
137	0.01641662974
138	0.01632195165
139	0.01625280724
140	0.01613350256
141	0.01593923967
142	0.01587758491
143	0.01582998132
144	0.01570685009
145	0.01564242783
146	0.01558507289
147	0.01553271466
148	0.01530267936
149	0.01516834594
150	0.01514782175
151	0.01509227498
152	0.01505927835
153	0.01502245699
154	0.01497408194
155	0.01486146791
156	0.01475104182
157	0.01459318835
158	0.01455415509
159	0.01453417549
160	0.01450947326
161	0.01442527297
162	0.01426953343
163	0.01421944822
164	0.0140899161
165	0.01406756511
166	0.01402835339
167	0.01392528622
168	0.01385305489
169	0.01372856045
170	0.01369184361
171	0.01358764514
172	0.0135275227
173	0.01349390839
174	0.01340797451
175	0.01335968166
176	0.01325823122
177	0.01317129429
178	0.01310978385
179	0.01309300588
180	0.01291631581
181	0.01287881927
182	0.01284394484
183	0.01280831605
184	0.01274850246
185	0.01268882222
186	0.01263218311
187	0.01258717931
188	0.01251169739
189	0.01245982333
190	0.01242717404
191	0.0123939981
192	0.01231621329
193	0.01227922973
194	0.01223143393
195	0.01218168324
196	0.01211722371
197	0.01202204054
198	0.01197367186
199	0.01192591224
